URL,PageTitle,PageURL,PageLoadTime(ms),PageLinkFetchTime(ms),URLValidationStatus,ResponseCode,ResponseTime(ms)
https://support.google.com/legal/answer/12158374?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,260
https://www.google.com/about/datacenters/inside/locations?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,425
https://support.google.com/websearch/answer/6030020?hl=en#zippy=%2Chow-audio-recordings-are-saved,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,274
https://contacts.google.com?hl=en,Sign in - Google Accounts,https://contacts.google.com?hl=en,1179,183,Checked,200,701
https://support.google.com/chrome?p=privpol_chrsync&hl=en,Sign in & sync in Chrome - Computer - Google Chrome Help,https://support.google.com/chrome?p=privpol_chrsync&hl=en,2279,70,Checked,200,801
https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=http://support.google.com/chrome/answer/185277%3Fref_topic%3D7439637%26hl%3Den%26visit_id%3D638072867479420689-4074494838%26p%3Dprivpol_chrsync%26rd%3D1&ec=GAZAdQ,Sign in & sync in Chrome - Computer - Google Chrome Help,https://support.google.com/chrome?p=privpol_chrsync&hl=en,2279,70,Checked: Based on URL Level Check 2,200,511
https://guidebooks.google.com/iphone/chrome/,Sign in & sync in Chrome - Computer - Google Chrome Help,https://support.google.com/chrome?p=privpol_chrsync&hl=en,2279,70,Checked: Based on URL Level Check 2,200,865
https://www.google.com/chrome/privacy/,Sign in & sync in Chrome - Computer - Google Chrome Help,https://support.google.com/chrome?p=privpol_chrsync&hl=en,2279,70,Checked: Based on URL Level Check 2,200,215
https://support.google.com/chrome/answer/9116376,Sign in & sync in Chrome - Computer - Google Chrome Help,https://support.google.com/chrome?p=privpol_chrsync&hl=en,2279,70,Checked: Based on URL Level Check 2,200,302
https://www.google.com/chrome/tips/,Sign in & sync in Chrome - Computer - Google Chrome Help,https://support.google.com/chrome?p=privpol_chrsync&hl=en,2279,70,Checked: Based on URL Level Check 2,200,260
https://chrome.google.com/sync,Sign in - Google Accounts,https://chrome.google.com/sync,1094,233,Checked,200,556
//www.google.com/chrome,Error: page.goto: Protocol error (Playwright.navigate): Cannot navigate to invalid URL [{"code":-32000,"message":"Cannot navigate to invalid URL"}]
=========================== logs ===========================
navigating to "//www.google.com/chrome", waiting until "load"
============================================================,TypeError: Only absolute URLs are supported,1
https://support.google.com/googleplay?p=privpol_review&hl=en,How to rate & review apps in the Google Play Store - Computer - Google Play Help,https://support.google.com/googleplay?p=privpol_review&hl=en,3084,44,Checked,200,840
https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=http://support.google.com/googleplay/answer/4346705%3Fhl%3Den%26visit_id%3D638072867479420689-4074494838%26p%3Dprivpol_review%26rd%3D1&ec=GAZAdQ,How to rate & review apps in the Google Play Store - Computer - Google Play Help,https://support.google.com/googleplay?p=privpol_review&hl=en,3084,44,Checked: Based on URL Level Check 2,200,496
https://support.google.com/googleplay/thread/191796607/welcome-to-the-google-play-games-beta-on-pc-community-%F0%9F%8E%89?hl=en,How to rate & review apps in the Google Play Store - Computer - Google Play Help,https://support.google.com/googleplay?p=privpol_review&hl=en,3084,44,Checked: Based on URL Level Check 2,200,593
//accounts.google.com/ServiceLogin?continue=https://support.google.com/googleplay/answer/4346705,How to rate & review apps in the Google Play Store - Computer - Google Play Help,https://support.google.com/googleplay?p=privpol_review&hl=en,3084,44,Checked: Based on URL Level Check 2,TypeError: Only absolute URLs are supported,0
http://play.google.com/about/play-terms.html,How to rate & review apps in the Google Play Store - Computer - Google Play Help,https://support.google.com/googleplay?p=privpol_review&hl=en,3084,44,Checked: Based on URL Level Check 2,200,271
https://play.google.com/store,Android Apps on Google Play,https://play.google.com/store,3362,254,Checked,200,435
https://play.google.com/about/play-pass,Android Apps on Google Play,https://play.google.com/store,3362,254,Checked: Based on URL Level Check 2,200,273
